,group_id,id,geo_name,region_id,geo,year,private_area_size,building_type,trd_unit_price,rent_y_unit_price,rent_m_unit_price
75,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2014,A,APT,1173.88739878,829.33515776,5.97362294
76,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2015,A,APT,1215.97051467,908.65029356,6.55599777
77,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2016,A,APT,1301.25005523,1031.66755357,6.87963059
78,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2017,A,APT,1397.22877543,1085.19324667,6.46978538
79,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2018,A,APT,1499.9048194,1113.6996078,6.50329247
80,04000KR11,05000KR11350,노원구,11110,05000KR11350,2011,A,APT,1398.72759582,748.98013638,5.64813367
81,04000KR11,05000KR11350,노원구,11110,05000KR11350,2012,A,APT,1309.43173531,793.13521181,5.94851434
82,04000KR11,05000KR11350,노원구,11110,05000KR11350,2013,A,APT,1286.8623407,837.52460142,6.15048419
83,04000KR11,05000KR11350,노원구,11110,05000KR11350,2014,A,APT,1331.04958166,914.87317598,6.43989808
84,04000KR11,05000KR11350,노원구,11110,05000KR11350,2015,A,APT,1388.63147606,1029.54662387,7.33993131
85,04000KR11,05000KR11350,노원구,11110,05000KR11350,2016,A,APT,1486.7204246,1139.60340894,7.67220718
86,04000KR11,05000KR11350,노원구,11110,05000KR11350,2017,A,APT,1599.12264353,1198.35934397,7.45646695
87,04000KR11,05000KR11350,노원구,11110,05000KR11350,2018,A,APT,1750.51071422,1259.11386817,7.16336391
88,04000KR11,05000KR11380,은평구,11120,05000KR11380,2011,A,APT,1282.42196605,712.15112585,5.71804944
89,04000KR11,05000KR11380,은평구,11120,05000KR11380,2012,A,APT,1288.31002515,755.1271813,6.06256597
90,04000KR11,05000KR11380,은평구,11120,05000KR11380,2013,A,APT,1252.22696348,832.04718868,6.74068051
91,04000KR11,05000KR11380,은평구,11120,05000KR11380,2014,A,APT,1317.48601406,909.35647982,7.10923833
92,04000KR11,05000KR11380,은평구,11120,05000KR11380,2015,A,APT,1369.85135058,999.93154014,7.62002601
93,04000KR11,05000KR11380,은평구,11120,05000KR11380,2016,A,APT,1467.16120752,1131.35058516,8.20440641
94,04000KR11,05000KR11380,은평구,11120,05000KR11380,2017,A,APT,1632.52824338,1241.27577235,8.71725919
95,04000KR11,05000KR11380,은평구,11120,05000KR11380,2018,A,APT,1793.12734338,1301.19344842,8.35347905
96,04000KR11,05000KR11410,서대문구,11130,05000KR11410,2011,A,APT,1354.19462778,761.89639122,6.21476475
